iter	Passed	Remaining
0	148	148551
1	150	74872
2	151	50195
3	151	37842
4	152	30405
5	153	25488
6	154	21915
7	155	19236
8	155	17145
9	156	15486
10	157	14126
11	157	13006
12	158	12064
13	159	11246
14	160	10530
15	161	9906
16	162	9382
17	163	8910
18	164	8493
19	165	8109
20	166	7752
21	167	7428
22	167	7127
23	168	6849
24	168	6590
25	169	6357
26	170	6140
27	170	5936
28	171	5749
29	172	5571
30	172	5407
31	173	5253
32	174	5112
33	175	4983
34	176	4857
35	177	4748
36	178	4636
37	178	4525
38	179	4425
39	180	4324
40	181	4234
41	181	4143
42	182	4059
43	183	3979
44	183	3900
45	184	3824
46	184	3751
47	185	3682
48	186	3616
49	187	3558
50	188	3506
51	189	3455
52	190	3402
53	191	3354
54	192	3314
55	194	3280
56	196	3243
57	196	3196
58	197	3153
59	198	3110
60	199	3068
61	199	3025
62	200	2986
63	201	2952
64	202	2916
65	203	2885
66	204	2851
67	205	2816
68	206	2782
69	206	2748
70	207	2715
71	208	2684
72	209	2660
73	210	2631
74	210	2601
75	211	2572
76	212	2546
77	213	2519
78	213	2493
79	214	2467
80	215	2443
81	216	2426
82	217	2400
83	218	2379
84	219	2361
85	220	2340
86	221	2319
87	221	2297
88	222	2275
89	222	2254
90	223	2234
91	224	2214
92	225	2195
93	225	2175
94	226	2157
95	227	2138
96	227	2120
97	228	2103
98	229	2086
99	229	2069
100	230	2055
101	231	2041
102	233	2030
103	234	2017
104	234	2002
105	235	1987
106	236	1973
107	237	1959
108	237	1945
109	238	1931
110	239	1919
111	240	1906
112	241	1893
113	241	1880
114	242	1867
115	243	1853
116	243	1840
117	244	1827
118	245	1818
119	246	1808
120	247	1798
121	248	1787
122	249	1776
123	249	1765
124	250	1754
125	251	1744
126	252	1732
127	252	1722
128	253	1711
129	254	1701
130	254	1690
131	255	1680
132	256	1670
133	256	1660
134	257	1650
135	258	1641
136	259	1631
137	259	1621
138	260	1613
139	261	1606
140	262	1598
141	263	1589
142	263	1581
143	264	1572
144	265	1563
145	266	1558
146	267	1550
147	267	1541
148	268	1533
149	269	1525
150	269	1517
151	270	1509
152	271	1501
153	271	1493
154	272	1485
155	273	1477
156	273	1470
157	274	1462
158	275	1455
159	275	1448
160	276	1440
161	277	1433
162	277	1426
163	278	1419
164	279	1412
165	279	1405
166	280	1398
167	280	1391
168	281	1384
169	282	1377
170	282	1371
171	283	1364
172	284	1358
173	284	1352
174	285	1345
175	286	1339
176	286	1333
177	287	1327
178	288	1321
179	288	1315
180	289	1309
181	290	1304
182	291	1299
183	291	1294
184	293	1292
185	294	1287
186	294	1281
187	295	1276
188	296	1271
189	297	1266
190	297	1261
191	298	1256
192	299	1250
193	299	1245
194	300	1240
195	301	1236
196	302	1231
197	302	1226
198	303	1221
199	304	1216
200	304	1211
201	305	1207
202	306	1203
203	307	1199
204	308	1195
205	309	1191
206	309	1186
207	310	1181
208	310	1176
209	311	1172
210	312	1167
211	312	1162
212	313	1158
213	314	1154
214	314	1149
215	315	1145
216	316	1140
217	316	1136
218	317	1132
219	318	1128
220	319	1124
221	319	1120
222	320	1116
223	321	1113
224	322	1109
225	322	1106
226	323	1102
227	324	1098
228	324	1093
229	325	1090
230	326	1086
231	326	1081
232	327	1077
233	327	1073
234	328	1069
235	329	1065
236	329	1061
237	330	1057
238	331	1053
239	331	1050
240	332	1046
241	332	1042
242	333	1039
243	334	1035
244	334	1031
245	335	1028
246	336	1025
247	336	1021
248	337	1017
249	338	1014
250	338	1010
251	339	1007
252	339	1003
253	340	999
254	340	996
255	341	992
256	342	989
257	342	985
258	343	982
259	343	978
260	344	975
261	345	972
262	345	969
263	346	966
264	347	962
265	347	959
266	348	956
267	349	953
268	349	950
269	350	947
270	351	945
271	352	943
272	353	940
273	353	936
274	354	933
275	354	930
276	355	927
277	356	924
278	356	921
279	357	918
280	358	916
281	358	913
282	359	910
283	360	907
284	360	904
285	361	902
286	362	899
287	362	896
288	363	894
289	364	891
290	364	888
291	365	887
292	367	885
293	367	883
294	368	880
295	369	878
296	369	875
297	370	872
298	371	870
299	371	867
300	372	865
301	373	862
302	373	859
303	374	856
304	374	854
305	375	851
306	376	848
307	376	846
308	377	843
309	377	841
310	378	838
311	379	836
312	380	834
313	380	831
314	381	829
315	382	826
316	382	824
317	383	821
318	383	819
319	384	816
320	384	814
321	385	811
322	386	809
323	386	806
324	387	804
325	387	802
326	388	799
327	389	797
328	389	795
329	390	792
330	390	790
331	391	787
332	392	785
333	392	782
334	393	780
335	393	778
336	394	776
337	395	773
